"","CFA District","CFA Brigade Area","Number of incidents within the Brigade Area for the reporting period across all Hazard Classes"
"1","02","Bendigo",205
"2","02","Eaglehawk",32
"3","02","Golden Square",30
"4","02","Kangaroo Flat",25
"5","04","Portland",38
"6","05","Hamilton",32
"7","05","Warrnambool",133
"8","07","Belmont",130
"9","07","Corio",258
"10","07","Geelong City",264
"11","07","Geelong West",27
"12","07","Lara",63
"13","07","Ocean Grove",29
"14","07","Torquay",34
"15","08","Berwick",108
"16","08","Carrum Downs",90
"17","08","Cranbourne",227
"18","08","Dandenong",348
"19","08","Edithvale",35
"20","08","Frankston",304
"21","08","Hallam",210
"22","08","Hampton Park",109
"23","08","Langwarrin",39
"24","08","Mornington",103
"25","08","Mt Eliza",36
"26","08","Narre Warren",58
"27","08","Noble Park",76
"28","08","Pakenham",136
"29","08","Patterson River",132
"30","08","Rosebud",85
"31","08","Springvale",198
"32","10","Sale",59
"33","11","Bairnsdale",55
"34","13","Bayswater",64
"35","13","Boronia",104
"36","13","Chirnside Park",30
"37","13","Ferntree Gully",56
"38","13","Lilydale",41
"39","13","Mooroolbark",32
"40","13","Rowville",92
"41","13","Scoresby",81
"42","13","Warrandyte",49
"43","14","Caroline Springs",174
"44","14","Craigieburn",196
"45","14","Diamond Creek",20
"46","14","Eltham City",88
"47","14","Epping",64
"48","14","Greenvale",52
"49","14","Melton",202
"50","14","Plenty",39
"51","14","Point Cook",88
"52","14","South Morang",41
"53","14","Sunbury",87
"54","14","Tarneit",253
"55","14","Werribee",138
"56","15","Bacchus Marsh",62
"57","15","Ballarat",114
"58","15","Ballarat City",133
"59","15","Lucas",49
"60","15","Sebastopol",49
"61","15","Wendouree",72
"62","16","Stawell",26
"63","18","Mildura",132
"64","20","Echuca",43
"65","22","Shepparton",179
"66","23","Wangaratta",83
"67","24","Wodonga",103
"68","27","Morwell",110
"69","27","Traralgon",79
"70","27","Traralgon West",18
