"","date","pm25","pm10","o3","no2","so2","co"
"118","17/09/2017",22,NA,NA,NA,NA,NA
"119","18/09/2017",36,NA,NA,NA,NA,NA
"120","19/09/2017",17,NA,NA,NA,NA,NA
"121","20/09/2017",16,NA,NA,NA,NA,NA
"122","21/09/2017",28,NA,NA,NA,NA,NA
"123","22/09/2017",23,NA,NA,NA,NA,NA
"124","23/09/2017",33,NA,NA,NA,NA,NA
"125","24/09/2017",26,NA,NA,NA,NA,NA
"126","25/09/2017",21,NA,NA,NA,NA,NA
"127","26/09/2017",17,NA,NA,NA,NA,NA
"128","27/09/2017",24,NA,NA,NA,NA,NA
"129","28/09/2017",31,NA,NA,NA,NA,NA
"130","29/09/2017",25,NA,NA,NA,NA,NA
"131","30/09/2017",19,NA,NA,NA,NA,NA
"132","1/10/2017",17,NA,NA,NA,NA,NA
"133","2/10/2017",23,NA,NA,NA,NA,NA
"134","3/10/2017",21,NA,NA,NA,NA,NA
"135","4/10/2017",30,NA,NA,NA,NA,NA
"136","5/10/2017",41,NA,NA,NA,NA,NA
"137","6/10/2017",43,NA,NA,NA,NA,NA
"138","7/10/2017",24,NA,NA,NA,NA,NA
"139","8/10/2017",23,NA,NA,NA,NA,NA
"140","9/10/2017",25,NA,NA,NA,NA,NA
"141","10/10/2017",25,NA,NA,NA,NA,NA
"142","11/10/2017",30,NA,NA,NA,NA,NA
"143","12/10/2017",33,NA,NA,NA,NA,NA
"144","13/10/2017",23,NA,NA,NA,NA,NA
"145","14/10/2017",26,NA,NA,NA,NA,NA
"146","15/10/2017",30,NA,NA,NA,NA,NA
"147","16/10/2017",31,NA,NA,NA,NA,NA
"148","17/10/2017",32,NA,NA,NA,NA,NA
"149","18/10/2017",50,NA,NA,NA,NA,NA
"150","21/10/2017",39,NA,NA,NA,NA,NA
"151","22/10/2017",32,NA,NA,NA,NA,NA
"152","23/10/2017",20,NA,NA,NA,NA,NA
"153","24/10/2017",20,NA,NA,NA,NA,NA
"154","25/10/2017",25,NA,NA,NA,NA,NA
"155","26/10/2017",35,NA,NA,NA,NA,NA
"156","27/10/2017",28,NA,NA,NA,NA,NA
"157","28/10/2017",31,NA,NA,NA,NA,NA
"158","29/10/2017",25,NA,NA,NA,NA,NA
"159","30/10/2017",34,NA,NA,NA,NA,NA
"160","31/10/2017",25,NA,NA,NA,NA,NA
"161","1/11/2017",37,NA,NA,NA,NA,NA
"162","2/11/2017",36,NA,NA,NA,NA,NA
"163","3/11/2017",32,NA,NA,NA,NA,NA
"164","4/11/2017",38,NA,NA,NA,NA,NA
"165","5/11/2017",36,NA,NA,NA,NA,NA
"166","6/11/2017",43,NA,NA,NA,NA,NA
"167","7/11/2017",28,NA,NA,NA,NA,NA
"168","8/11/2017",22,NA,NA,NA,NA,NA
"169","9/11/2017",27,NA,NA,NA,NA,NA
"170","10/11/2017",30,NA,NA,NA,NA,NA
"171","11/11/2017",45,NA,NA,NA,NA,NA
"172","12/11/2017",56,NA,NA,NA,NA,NA
"173","13/11/2017",56,NA,NA,NA,NA,NA
"174","14/11/2017",50,NA,NA,NA,NA,NA
"175","15/11/2017",45,NA,NA,NA,NA,NA
"176","16/11/2017",38,NA,NA,NA,NA,NA
"177","17/11/2017",43,NA,NA,NA,NA,NA
"178","18/11/2017",38,NA,NA,NA,NA,NA
"179","19/11/2017",38,NA,NA,NA,NA,NA
"180","20/11/2017",33,NA,NA,NA,NA,NA
"181","21/11/2017",28,NA,NA,NA,NA,NA
"182","22/11/2017",40,NA,NA,NA,NA,NA
"183","23/11/2017",42,NA,NA,NA,NA,NA
"184","24/11/2017",47,NA,NA,NA,NA,NA
"185","25/11/2017",52,NA,NA,NA,NA,NA
"186","26/11/2017",42,NA,NA,NA,NA,NA
"187","27/11/2017",35,NA,NA,NA,NA,NA
